name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10001,2021-01-01,39.1,34.2,36.7,36.2,28.5,32.1,26.6,67.45,0.53,,29.17,,0,0,18.3,9.8,82.2,1028.9,38.9,8.7,105.7,4.2,3,,2021-01-01T07:20:18,2021-01-01T16:39:25,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-02,51.5,36.4,42.2,51.5,29.1,38.8,34.2,74.76,0.09,,20.83,,0,0,34.4,12.9,247.3,1012.4,54.6,7.6,195,7.7,5,,2021-01-02T07:20:22,2021-01-02T16:40:16,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-03,38.2,35.3,36.6,33.3,27.6,29.5,31.1,80.76,0.19,,41.67,,0,0,25.7,14,69.4,1016.9,73.5,8.3,23,0.8,1,,2021-01-03T07:20:25,2021-01-03T16:41:10,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KTEB,KLGA,KJRB,KNYC,F1417,72503014732"
10001,2021-01-04,42.6,35.5,38.4,41.4,28.9,34.6,31.7,77.28,0.03,,16.67,,0,0,17.2,9.9,143.6,1014.6,89.9,9.7,162.2,5.8,4,,2021-01-04T07:20:25,2021-01-04T16:42:05,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KTEB,KLGA,KJRB,KNYC,F1417,72503014732"
10001,2021-01-05,40.8,37.4,38.6,37.6,31.6,34.9,29.4,69.39,0,,0,,0,0,,8.2,142,1013,99.7,9.9,75.8,3,2,,2021-01-05T07:20:23,2021-01-05T16:43:01,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-06,40.7,35.3,37.4,36.4,27,31.8,26.1,64.05,0,,8.33,,0,0,26.6,16,297.3,1015,40.5,9.9,214.5,8.5,5,,2021-01-06T07:20:18,2021-01-06T16:43:58,0.76,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-07,41.7,31.3,35.3,36.6,25,29.5,20.6,55.41,0,,4.17,,0,0,23,11.8,321.5,1018.5,1.6,9.9,227.5,9,5,,2021-01-07T07:20:12,2021-01-07T16:44:57,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-08,37.5,28.5,32.3,34.3,19.9,26.2,19.7,59.95,0,,0,,0,0,23.1,9.8,189.3,1015.3,5.3,9.9,127,5,3,,2021-01-08T07:20:03,2021-01-08T16:45:58,0.87,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-09,36.4,25.6,31.7,33.4,17.7,25.2,15.3,51.01,0,,0,,0,0,30.2,14.2,199.4,1012.1,44.2,9.9,194.5,7.7,5,,2021-01-09T07:19:52,2021-01-09T16:46:59,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10001,2021-01-10,41.5,29.7,34.6,41.5,24.4,30.6,18.1,51.05,0,,0,,0,0,21.9,9.7,242,1021.8,3.1,9.9,226.7,9,4,,2021-01-10T07:19:38,2021-01-10T16:48:01,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
