name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10017,2021-01-01,39.1,34.1,36.6,36.2,28.3,32.1,26.5,67.25,0.56,,29.17,,0,0,18.3,9.9,83.9,1028.9,39.2,8.6,105.7,4.2,3,,2021-01-01T07:20:12,2021-01-01T16:39:19,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-02,51.4,36.3,42.2,51.4,29,38.8,34.1,74.64,0.09,,20.83,,0,0,34.5,12.5,248.2,1012.4,54.8,7.5,195,7.7,5,,2021-01-02T07:20:17,2021-01-02T16:40:10,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-03,38.2,35.2,36.5,33.3,27.6,29.5,31,80.61,0.2,,41.67,,0,0,25.7,13.8,70.5,1016.9,73.8,8.3,23,0.8,1,,2021-01-03T07:20:19,2021-01-03T16:41:04,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KTEB,KLGA,KJRB,KNYC,F1417,72503014732"
10017,2021-01-04,42.5,35.4,38.3,41.3,28.6,34.5,31.6,77.12,0.03,,16.67,,0,0,17.2,9.9,112.9,1014.6,90,9.7,162.2,5.8,4,,2021-01-04T07:20:19,2021-01-04T16:41:58,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KTEB,KLGA,KJRB,KNYC,F1417,72503014732"
10017,2021-01-05,40.9,37.3,38.6,37.5,31.3,34.8,29.3,69.18,0,,0,,0,0,,8.3,142.9,1013,99.6,9.9,75.8,3,2,,2021-01-05T07:20:17,2021-01-05T16:42:55,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-06,40.4,35.3,37.3,36.4,26.7,31.6,25.9,64.01,0,,8.33,,0,0,26.8,16.6,297.2,1015,40.5,9.9,214.5,8.5,5,,2021-01-06T07:20:13,2021-01-06T16:43:52,0.76,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-07,41.5,31.2,35.2,36.2,24.1,29.2,20.4,55.27,0,,4.17,,0,0,23,12.3,320.8,1018.5,1.8,9.9,227.5,9,5,,2021-01-07T07:20:06,2021-01-07T16:44:51,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-08,37.4,28.5,32.2,34.2,19.7,26,19.5,59.62,0,,0,,0,0,23.5,9.9,186.3,1015.2,6,9.9,127,5,3,,2021-01-08T07:19:57,2021-01-08T16:45:51,0.87,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-09,36.3,25.5,31.6,33.1,17.4,24.9,15,50.63,0,,0,,0,0,31.3,14.8,196.9,1012.1,45.2,9.9,194.5,7.7,5,,2021-01-09T07:19:46,2021-01-09T16:46:53,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10017,2021-01-10,41.3,29.5,34.5,41.3,24.3,30.4,18,50.9,0,,0,,0,0,21.9,9.9,241.3,1021.8,3.5,9.9,226.7,9,4,,2021-01-10T07:19:33,2021-01-10T16:47:55,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KTEB,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
