name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10006,2021-01-01,39.8,35.9,38.4,37.7,28.5,33,29.1,69.5,0.1,100,8.33,rain,0,0,18.3,16,79.1,1029.4,17.3,9.7,48.5,4.2,3,,2021-01-01T07:20:14,2021-01-01T16:39:37,0.53,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-02,53.9,38,43.3,53.9,31,39.8,35.6,76.2,0.03,100,8.33,rain,0,0,31.7,18.3,243.2,1012.9,26,8.8,89.4,7.7,5,,2021-01-02T07:20:18,2021-01-02T16:40:28,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-03,39.8,37.1,38.2,34.6,26.8,30,33.2,82.7,0,0,0,,0,0,26.4,19.6,60.8,1017.1,32.3,8.7,10.3,1.1,1,,2021-01-03T07:20:21,2021-01-03T16:41:22,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KEWR,KLGA,KJRB,KNYC,F1417"
10006,2021-01-04,44.9,37.1,40.2,42.5,30.6,36.9,34,78.9,0,0,0,,0,0,17.2,11.4,159.4,1015,41.4,9.9,68.2,6,4,,2021-01-04T07:20:21,2021-01-04T16:42:16,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KEWR,KLGA,KJRB,KNYC,F1417"
10006,2021-01-05,42.1,38,39.8,42.1,32.7,36.4,31.5,72,0,0,0,,0,0,19.7,9.1,196.4,1013.5,45.7,9.9,34.8,3.1,2,,2021-01-05T07:20:19,2021-01-05T16:43:13,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-06,46,35.9,39.4,44.9,31.7,36.4,27.9,64.1,0.02,100,8.33,rain,0,0,49,7.1,298.9,1015.6,22.1,9.9,98.3,8.6,5,,2021-01-06T07:20:15,2021-01-06T16:44:10,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-07,46.9,33.1,37.7,45.8,28.8,34.8,23.4,56.9,0.01,100,4.17,rain,0,0,36.7,6.9,324.9,1019,0.1,9.9,104.3,9,5,,2021-01-07T07:20:08,2021-01-07T16:45:09,0.82,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-08,38.9,29.9,34.5,38.9,23.3,29.2,23.8,65,0,0,0,,0,0,24.2,11.4,176.5,1015.6,0.3,9.9,58.2,4.9,3,,2021-01-08T07:19:59,2021-01-08T16:46:09,0.87,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-09,38.9,28.1,34.1,38.9,20.5,29.7,20,56.9,0,0,0,,0,0,35.3,9.2,196.1,1012.6,17.6,9.9,89.2,7.6,5,,2021-01-09T07:19:48,2021-01-09T16:47:10,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
10006,2021-01-10,46.9,32,37.4,45.8,26.2,34.1,21.3,52.8,0,0,0,,0,0,21.9,8,291.8,1022.3,0.2,9.9,103.9,8.8,4,,2021-01-10T07:19:35,2021-01-10T16:48:13,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KEWR,KLGA,KJRB,F8726,KNYC,F1417"
