name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
94017,2021-01-17,71.4,46.6,57.5,71.4,46.6,57.5,44.5,65.8,0,0,0,,0,0,,12.1,182.8,1018.4,23.5,8,148.1,12.9,6,,2021-01-17T07:21:46,2021-01-17T17:17:48,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-01-18,74.8,50,62.5,74.8,50,62.5,34.1,42.6,0,0,0,,0,0,42.5,26.7,194,1013.7,23.4,8.3,153.9,13.2,6,,2021-01-18T07:21:21,2021-01-18T17:18:51,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-01-19,65,55.2,59.6,65,55.2,59.6,22.8,24.3,0,0,0,,0,0,49.3,36.3,37.2,1014.7,6.8,9.9,151.7,12.9,6,,2021-01-19T07:20:54,2021-01-19T17:19:55,0.19,Clear,Clear conditions throughout the day.,wind,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-01-20,66.9,45.5,56.4,66.9,44.7,56.2,26.2,31.9,0,0,0,,0,0,31.1,15.2,187.2,1018.8,2.4,9.4,151.9,13.3,6,,2021-01-20T07:20:25,2021-01-20T17:21:00,0.23,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-01-21,52.5,36.1,45.8,52.5,34,44.6,38.1,75,0,0,0,,0,0,,9.7,245.9,1017.6,63.6,8.2,130.7,11.4,6,,2021-01-21T07:19:54,2021-01-21T17:22:05,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-01-22,52.3,45.9,49.6,52.3,44.6,48.6,44.5,82.6,0.11,100,20.83,rain,0,0,24.2,11.8,228.8,1012.7,87.3,7.1,91.1,7.7,4,,2021-01-22T07:19:22,2021-01-22T17:23:10,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-01-23,54.8,43.2,48.7,54.8,41.3,47.3,42.5,79.6,0,0,0,,0,0,18.3,16.1,187.5,1014.2,54.7,9.3,120.8,10.3,6,,2021-01-23T07:18:47,2021-01-23T17:24:15,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-01-24,51.1,43.2,48.8,51.1,39.3,45.8,42.6,79.3,0.19,100,25,rain,0,0,37.7,27.5,286.3,1012.7,91,7.3,38,3.3,2,,2021-01-24T07:18:11,2021-01-24T17:25:21,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-01-25,51.5,46.6,48.1,51.5,37.4,41.8,36.1,63.1,0,0,0,,0,0,41.8,30.8,321.9,1010.5,51.8,8.3,134.9,11.6,6,,2021-01-25T07:17:32,2021-01-25T17:26:27,0.44,Partially cloudy,Partly cloudy throughout the day.,wind,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-01-26,49.6,37.6,45.8,47.8,36.1,40.3,37.8,74,0.36,100,29.17,rain,0,0,43.5,33.3,222.9,1011.7,66.2,7.3,75.3,6.7,4,,2021-01-26T07:16:52,2021-01-26T17:27:33,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHAF,KSFO,72064600228,72494023234,PUGC1"
